            pm_pesos| pm_pesos | dv_pesos |  pm_Mcal |  dv_Mcal |  Sum_Pes | Sum_Mcal |   Capacid| SPes/cap | SMat/Cal |   lowerB |     upperB| lowerB/upperB
    jeu_100_75_1.txt     25,090     15,003     38,052     33,283   2509,000 192165,000   2466,000      1,017      0,013         87         99      0,879
    jeu_100_75_2.txt     26,800     14,441     38,593     33,189   2680,000 194895,000   1346,000      1,991      0,028         31         68      0,456
    jeu_100_75_3.txt     25,740     13,685     38,089     32,879   2574,000 192351,000    847,000      3,039      0,041         18         55      0,327
    jeu_100_75_4.txt     25,000     14,395     37,648     33,085   2500,000 190121,000    953,000      2,623      0,035         22         60      0,367
    jeu_100_75_5.txt     25,050     14,017     38,910     33,606   2505,000 196497,000    370,000      6,770      0,091         7          37      0,189
    jeu_100_75_6.txt     25,990     15,835     37,732     33,222   2599,000 190549,000   1924,000      1,351      0,018         47         86      0,547
    jeu_100_75_7.txt     26,380     15,254     39,098     33,367   2638,000 197445,000   1498,000      1,761      0,024         34         74      0,459
    jeu_100_75_8.txt     28,900     13,827     38,029     33,373   2890,000 192044,000    382,000      7,565      0,148         7          31      0,226
    jeu_100_75_9.txt     27,220     13,973     37,839     33,017   2722,000 191088,000   1542,000      1,765      0,026         36         73      0,493
   jeu_100_75_10.txt     25,450     14,709     37,358     33,238   2545,000 188658,000   1918,000      1,327      0,018         50         86      0,581
    jeu_100_50_1.txt     25,170     14,814     25,884     32,876   2517,000 130713,000   1562,000      1,611      0,030         37         78      0,474
    jeu_100_50_2.txt     25,600     14,885     26,196     32,948   2560,000 132289,000   2019,000      1,268      0,024         53         88      0,602
    jeu_100_50_3.txt     23,600     14,870     25,694     32,566   2360,000 129757,000    568,000      4,155      0,069         12         51      0,235
    jeu_100_50_4.txt     26,660     13,926     25,132     32,253   2666,000 126917,000   2208,000      1,207      0,025         60         90      0,667
    jeu_100_50_5.txt     23,390     13,692     25,518     32,716   2339,000 128867,000    983,000      2,379      0,041         22         65      0,338
    jeu_100_50_6.txt     23,780     14,072     24,746     32,295   2378,000 124966,000    321,000      7,408      0,148         6          35      0,171
    jeu_100_50_7.txt     26,150     14,076     25,689     32,641   2615,000 129729,000   1065,000      2,455      0,050         23         62      0,371
    jeu_100_50_8.txt     25,030     14,664     24,812     32,204   2503,000 125302,000   1041,000      2,404      0,046         22         64      0,344
    jeu_100_50_9.txt     26,510     13,301     25,340     32,752   2651,000 127967,000   1459,000      1,817      0,038         35         72      0,486
   jeu_100_50_10.txt     27,330     13,795     25,254     32,505   2733,000 127533,000   1918,000      1,425      0,031         48         82      0,585
    jeu_100_25_1.txt     25,820     15,144     13,024     26,458   2582,000  65772,000    669,000      3,859      0,139         13         51      0,255
    jeu_100_25_2.txt     27,680     14,147     12,840     26,438   2768,000  64840,000   2366,000      1,170      0,049         65         91      0,714
    jeu_100_25_3.txt     24,880     14,062     12,438     25,865   2488,000  62814,000    156,000     15,949      0,663         3          23      0,130
    jeu_100_25_4.txt     30,160     14,611     13,149     26,574   3016,000  66401,000   2298,000      1,312      0,060         55         85      0,647
    jeu_100_25_5.txt     27,140     14,587     12,837     26,310   2714,000  64827,000   2536,000      1,070      0,044         76         96      0,792
    jeu_100_25_6.txt     22,910     13,085     12,613     26,138   2291,000  63697,000   1236,000      1,854      0,063         32         73      0,438
    jeu_100_25_7.txt     24,500     14,219     12,992     26,466   2450,000  65610,000    466,000      5,258      0,167         10         44      0,227
    jeu_100_25_8.txt     23,660     16,032     12,787     26,517   2366,000  64572,000    619,000      3,822      0,116         13         55      0,236
    jeu_100_25_9.txt     28,130     14,487     12,110     25,767   2813,000  61158,000   1597,000      1,761      0,079         37         72      0,514
   jeu_100_25_10.txt     26,090     13,513     12,302     25,866   2609,000  62125,000   1040,000      2,509      0,105         23         60      0,383
   jeu_100_100_1.txt     21,750     14,259     50,090     28,929   2175,000 252956,000    616,000      3,531      0,027         13         56      0,232
   jeu_100_100_2.txt     26,140     14,533     50,618     28,734   2614,000 255619,000   1978,000      1,322      0,014         51         86      0,593
   jeu_100_100_3.txt     25,100     14,102     50,315     28,931   2510,000 254091,000   2232,000      1,125      0,011         67         94      0,713
   jeu_100_100_5.txt     25,350     14,261     51,119     28,811   2535,000 258151,000   2257,000      1,123      0,011         68         94      0,723
   jeu_100_100_6.txt     24,560     13,690     50,213     28,909   2456,000 253574,000    726,000      3,383      0,033         15         53      0,283
   jeu_100_100_7.txt     24,330     13,730     50,628     28,797   2433,000 255671,000    100,000     24,330      0,236         2          19      0,105
   jeu_100_100_8.txt     24,780     14,101     50,186     28,833   2478,000 253438,000    608,000      4,076      0,040         13         49      0,265
   jeu_100_100_9.txt     25,300     14,267     50,442     28,703   2530,000 254733,000   2319,000      1,091      0,011         71         95      0,747
  jeu_100_100_10.txt     23,790     13,543     50,798     29,044   2379,000 256529,000   1779,000      1,337      0,012         50         86      0,581
   jeu_200_100_1.txt     25,685     13,945     50,279     28,823   5137,0001010609,000   4785,000      1,074      0,005        150        192      0,781
   jeu_200_100_2.txt     24,705     15,485     50,428     28,721   4941,0001013598,000   1325,000      3,729      0,016         27        108      0,250
   jeu_200_100_3.txt     24,840     14,029     50,802     28,921   4968,0001021111,000    173,000     28,717      0,169         3          33      0,091
   jeu_200_100_4.txt     26,020     14,531     50,757     28,746   5204,0001020223,000    498,000     10,450      0,052         10         62      0,161
   jeu_200_100_5.txt     25,755     13,703     50,737     28,980   5151,0001019810,000   4005,000      1,286      0,007        111        175      0,634
   jeu_200_100_6.txt     24,345     14,839     50,286     29,015   4869,0001010739,000    195,000     24,969      0,118         3          40      0,075
   jeu_200_100_7.txt     25,920     14,196     50,655     28,782   5184,0001018162,000   3583,000      1,447      0,007         91        165      0,552
   jeu_200_100_8.txt     24,080     14,768     50,415     28,904   4816,0001013342,000   3677,000      1,310      0,006         99        175      0,566
   jeu_200_100_9.txt     25,945     14,924     50,323     28,847   5189,0001011497,000   3256,000      1,594      0,008         77        157      0,490
  jeu_200_100_10.txt     25,490     14,886     50,539     28,980   5098,0001015838,000   1859,000      2,742      0,013         40        121      0,331
    jeu_200_25_1.txt     25,905     14,165     12,971     26,387   5181,000 260722,000   4027,000      1,287      0,025        108        175      0,617
    jeu_200_25_2.txt     23,365     15,059     12,852     26,455   4673,000 258324,000   4271,000      1,094      0,020        137        191      0,717
    jeu_200_25_4.txt     26,505     13,758     12,892     26,370   5301,000 259122,000   4518,000      1,173      0,024        128        183      0,699
    jeu_200_25_5.txt     25,475     14,290     12,676     26,313   5095,000 254789,000   3688,000      1,382      0,027         97        169      0,574
    jeu_200_25_6.txt     25,965     14,328     12,603     26,033   5193,000 253321,000   1700,000      3,055      0,065         37        112      0,330
    jeu_200_25_7.txt     26,590     14,284     12,714     26,449   5318,000 255550,000   1242,000      4,282      0,090         26         92      0,283
    jeu_200_25_8.txt     25,130     14,995     12,327     25,901   5026,000 247763,000   2861,000      1,757      0,034         67        151      0,444
    jeu_200_25_9.txt     25,920     14,347     12,109     25,604   5184,000 243391,000   1012,000      5,123      0,105         21         86      0,244
   jeu_200_25_10.txt     26,580     14,779     12,426     26,085   5316,000 249772,000    990,000      5,370      0,110         20         84      0,238
    jeu_200_50_1.txt     24,760     13,982     25,332     32,458   4952,000 509168,000   3547,000      1,396      0,013         94        169      0,556
    jeu_200_50_2.txt     26,260     14,232     25,461     32,525   5252,000 511770,000   2245,000      2,339      0,025         51        127      0,402
    jeu_200_50_3.txt     24,555     14,636     25,357     32,542   4911,000 509682,000   2120,000      2,317      0,022         47        133      0,353
    jeu_200_50_4.txt     24,715     14,784     25,192     32,374   4943,000 506353,000   2132,000      2,318      0,022         47        133      0,353
    jeu_200_50_5.txt     25,715     14,706     25,354     32,604   5143,000 509618,000   4833,000      1,064      0,011        149        193      0,772
    jeu_200_50_6.txt     25,565     14,790     24,871     32,302   5113,000 499914,000   4354,000      1,174      0,012        121        184      0,658
    jeu_200_50_7.txt     27,035     14,176     25,355     32,589   5407,000 509634,000   2430,000      2,225      0,024         54        130      0,415
