f2-2-100
3
100
335	97	487	399
302	357	304	69
380	371	411	164
359	201	142	319
88	47	426	371
484	259	55	130
377	159	60	228
315	85	434	44
458	367	390	494
402	231	339	376
480	212	236	373
212	424	405	123
202	236	134	492
148	298	74	165
181	286	222	89
141	389	333	364
303	47	238	55
297	372	487	282
219	148	313	273
81	231	371	460
93	96	495	83
89	295	41	86
239	159	324	365
362	494	63	301
284	422	47	438
280	106	115	52
379	342	452	206
56	265	207	342
119	35	370	164
444	410	341	39
440	96	141	357
77	470	265	448
465	213	453	352
99	278	492	168
396	473	272	387
160	71	80	477
86	486	489	193
332	446	288	402
270	395	468	308
494	333	381	479
141	299	241	458
330	487	216	150
61	73	138	392
372	300	287	499
247	105	399	472
315	161	419	219
491	64	118	155
180	368	54	445
96	155	362	400
393	270	111	119
182	214	244	341
209	91	84	89
247	240	433	197
484	242	456	58
261	189	374	82
206	146	219	212
139	487	361	45
241	61	65	399
284	72	71	269
146	46	374	410
266	164	327	266
125	377	174	394
343	254	190	455
282	125	53	189
73	252	474	301
238	319	324	47
264	284	228	255
457	247	200	78
159	353	244	84
499	89	364	491
155	203	430	45
496	412	423	142
151	113	187	420
427	258	434	325
71	359	496	229
137	102	63	422
106	286	159	318
413	285	372	497
166	419	371	150
70	425	485	247
40	133	237	90
40	220	345	220
499	103	58	327
115	345	300	248
381	477	215	455
401	406	124	77
243	210	235	275
283	218	298	49
165	457	425	336
350	275	432	159
55	311	47	249
140	375	42	420
446	336	360	109
144	282	355	367
96	405	473	447
409	382	406	271
352	478	111	73
101	434	269	363
390	171	174	462
390	456	51	138
3000	2500	2000	
